"","name","team.x","transfer.path.origin.club.from","transfer.path.origin.league","transfer.path.origin.transfer.fee","lon_o","lat_o","team.y","transfer.path.destination.club.from","transfer.path.destination.league.x","transfer.path.destination.transfer.fee","transfer.path.destination.lon","transfer.path.destination.lat"
"1","Marco Höger"," Cologne FC RheinEnergieStadion Germany","FC Schalke 04","Bundesliga",1.11,NA,NA," Cologne FC RheinEnergieStadion Germany","FC Schalke 04","Bundesliga",1.11,6.9602786,50.937531
"2","Artjoms Rudnevs"," Cologne FC RheinEnergieStadion Germany","Hamburger SV","Bundesliga",0,16.3378572,57.6027778," Cologne FC RheinEnergieStadion Germany","Hamburger SV","Bundesliga",0,6.9602786,50.937531
"3","Konstantin Rausch"," Cologne FC RheinEnergieStadion Germany","SV Darmstadt 98","Bundesliga",0,8.927711,50.108607," Cologne FC RheinEnergieStadion Germany","SV Darmstadt 98","Bundesliga",0,6.9602786,50.937531
"4","Sehrou Guirassy"," Cologne FC RheinEnergieStadion Germany","LOSC Lille","Bundesliga",3.23,3.057256,50.62925," Cologne FC RheinEnergieStadion Germany","LOSC Lille","Bundesliga",3.23,6.9602786,50.937531
"5","Levin Öztunali","FSV Mainz  Germany","Bay. Leverkusen","Bundesliga",4.25,6.9946126,51.0157534,"FSV Mainz  Germany","Bay. Leverkusen","Bundesliga",4.25,8.0015825,50.005679
"6","Jean-Philippe Gbamin","FSV Mainz  Germany","Lens","Bundesliga",4.25,2.83183,50.42893,"FSV Mainz  Germany","Lens","Bundesliga",4.25,8.0015825,50.005679
"7","Christian Clemens","FSV Mainz  Germany","FC Schalke 04","Bundesliga",1.7,NA,NA,"FSV Mainz  Germany","FC Schalke 04","Bundesliga",1.7,8.0015825,50.005679
"8","Jhon Córdoba","FSV Mainz  Germany","Granada CF","Bundesliga",5.53,-3.0106774,36.7460566,"FSV Mainz  Germany","Granada CF","Bundesliga",5.53,8.0015825,50.005679
"9","José Rodríguez","FSV Mainz  Germany","Galatasaray","Bundesliga",1.82,29.3190451,40.8236671,"FSV Mainz  Germany","Galatasaray","Bundesliga",1.82,8.0015825,50.005679
"10","Gerrit Holtmann","FSV Mainz  Germany","E. Braunschweig","Bundesliga",2.55,10.5267696,52.2688736,"FSV Mainz  Germany","E. Braunschweig","Bundesliga",2.55,8.0015825,50.005679
"11","José Sosa","AC Milan Italy","Besiktas","Serie A",6.38,29.0285355,41.068616,"AC Milan Italy","Besiktas","Serie A",6.38,9.1392456,45.5120844
"12","Gianluca Lapadula","AC Milan Italy","Pescara","Serie A",7.65,14.2160898,42.4617902,"AC Milan Italy","Pescara","Serie A",7.65,9.1392456,45.5120844
"13","Gustavo Gómez","AC Milan Italy","CA Lanús","Serie A",7.23,-58.3840143,-34.6493828,"AC Milan Italy","CA Lanús","Serie A",7.23,9.1392456,45.5120844
"14","Leonel Vangioni","AC Milan Italy","River Plate","Serie A",0,-56.741207,-35.1944557,"AC Milan Italy","River Plate","Serie A",0,9.1392456,45.5120844
"15","Christian Santos","Alavés Spain","NEC Nijmegen","La Liga",0,NA,NA,NA,NA,NA,NA,NA,NA
"16","Nenad Krsticic","Alavés Spain","Sampdoria","La Liga",0,-100.7169119,20.0188739,NA,NA,NA,NA,NA,NA
"17","Ibai Gómez","Alavés Spain","Athletic Bilbao","La Liga",0,-2.7530628,43.298455,NA,NA,NA,NA,NA,NA
"18","Edgar Méndez","Alavés Spain","Granada CF","La Liga",0,-3.0106774,36.7460566,NA,NA,NA,NA,NA,NA
"19","Zouhair Feddal","Alavés Spain","Levante UD","La Liga",0,-0.3887798,39.4961244,NA,NA,NA,NA,NA,NA
"20","Daniel Torres","Alavés Spain","Indep. Medellín","La Liga",2.7,-75.6251732,6.2487306,NA,NA,NA,NA,NA,NA
"21","Aleksandar Katai","Alavés Spain","Red Star","La Liga",1.7,-107.2650225,32.7997962,NA,NA,NA,NA,NA,NA
"22","Alexis","Alavés Spain","Besiktas","La Liga",0.34,29.0285355,41.068616,NA,NA,NA,NA,NA,NA
"23","Rob Holding","Arsenal UK","Bolton","Premier league",2.55,-2.4282192,53.5768647,"Arsenal UK","Bolton","Premier league",2.55,-0.1057342,51.5584654
"24","Granit Xhaka","Arsenal UK","Bor. M'gladbach","Premier league",38.25,NA,NA,"Arsenal UK","Bor. M'gladbach","Premier league",38.25,-0.1057342,51.5584654
"25","Shkodran Mustafi","Arsenal UK","Valencia CF","Premier league",34.85,-0.5104759,39.0643597,"Arsenal UK","Valencia CF","Premier league",34.85,-0.1057342,51.5584654
"26","Lucas Pérez","Arsenal UK","Dep. La Coruña","Premier league",17,-8.4329001,43.3588448,"Arsenal UK","Dep. La Coruña","Premier league",17,-0.1057342,51.5584654
"27","Takuma Asano","Arsenal UK","Sanf. Hiroshima","Premier league",3.4,-101.6370568,21.1273026,"Arsenal UK","Sanf. Hiroshima","Premier league",3.4,-0.1057342,51.5584654
"28","Alou Diarra","AS Nancy France","Charlton","Ligue 1",0,-71.970074,42.13565,NA,NA,NA,NA,NA,NA
"29","Anthony Koura","AS Nancy France","Olympique Nîmes","Ligue 1",0,4.360054,43.836699,NA,NA,NA,NA,NA,NA
"30","Issiar Dia","AS Nancy France","Al-Kharitiyat","Ligue 1",0,51.4211111,25.3963889,NA,NA,NA,NA,NA,NA
"31","Abdullahi Nura","AS Roma Italy","Spezia Calcio","Serie A",2.13,9.7994789,44.0727813,"AS Roma Italy","Spezia Calcio","Serie A",2.13,14.3033475,41.0601645
"32","Moustapha Seck","AS Roma Italy","Lazio","Serie A",0,12.989615,41.6552418,"AS Roma Italy","Lazio","Serie A",0,14.3033475,41.0601645
"33","Diego Perotti","AS Roma Italy","Genoa","Serie A",7.65,8.946256,44.4056499,"AS Roma Italy","Genoa","Serie A",7.65,14.3033475,41.0601645
"34","Ervin Zukanovic","AS Roma Italy","Sampdoria","Serie A",2.38,-100.7169119,20.0188739,"AS Roma Italy","Sampdoria","Serie A",2.38,14.3033475,41.0601645
"35","Mohamed Salah","AS Roma Italy","Chelsea","Serie A",12.75,-71.0328284,42.3917638,"AS Roma Italy","Chelsea","Serie A",12.75,14.3033475,41.0601645
"36","Stephan El Shaarawy","AS Roma Italy","AC Milan","Serie A",11.05,6.2230139,50.7654394,"AS Roma Italy","AC Milan","Serie A",11.05,14.3033475,41.0601645
"37","Antonio Rüdiger","AS Roma Italy","VfB Stuttgart","Serie A",7.65,NA,NA,"AS Roma Italy","VfB Stuttgart","Serie A",7.65,14.3033475,41.0601645
"38","Norbert Gyömber","AS Roma Italy","Catania","Serie A",1.28,15.0830304,37.5078772,"AS Roma Italy","Catania","Serie A",1.28,14.3033475,41.0601645
"39","Umar Sadiq","AS Roma Italy","Spezia Calcio","Serie A",2.13,9.7994789,44.0727813,"AS Roma Italy","Spezia Calcio","Serie A",2.13,14.3033475,41.0601645
"40","Gerson","AS Roma Italy","Fluminense","Serie A",14.11,-42.0911635,-22.8292768,"AS Roma Italy","Fluminense","Serie A",14.11,14.3033475,41.0601645
"41","Edin Dzeko","AS Roma Italy","Manchester City","Serie A",9.35,-71.4547891,42.9956397,"AS Roma Italy","Manchester City","Serie A",9.35,14.3033475,41.0601645
