"","name","transfer.date","club.from","club.to","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","league","Status"
"88","Georginio Wijnaldum","2015/7/11","PSV Eindhoven","Newcastle",1.7e+07,"
                                Midfield                            ","Netherlands","Rotterdam",44,18,6,4,4,1,0,0,0,206,3702,35.64681724846,"1990/11/11",24.662559890486,NA,"Promoted"
"89","Aleksandar Mitrovic","2015/7/21","RSC Anderlecht","Newcastle",15730000,"
                                Attacker                            ","Serbia","Smederevo",51,28,5,2,2,11,0,0,0,152,4255,NA,"1994/9/16",20.8432580424367,NA,"Promoted"
"90","Florian Thauvin","2015/8/19","Marseille","Newcastle",15600000,"
                                Attacker                            ","France","Orléans",38,5,7,5,5,3,0,0,0,531,2655,NA,"1993/1/26",22.5598904859685,NA,"Promoted"
"91","Jonjo Shelvey","2016/1/12","Swansea","Newcastle",13600000,"
                                Midfield                            ","England","Romford",35,3,6,4,4,9,1,0,1,923,2770,NA,"1992/2/27",23.8740588637919,NA,"Promoted"
"92","Andros Townsend","2016/1/27","Spurs","Newcastle",13350000,"
                                Attacker                            ","England","Walthamstow",35,6,6,10,10,4,0,0,5,336,2015,NA,"1991/7/16",24.5338809034908,NA,"Promoted"
"93","Chancel Mbemba","2015/7/30","RSC Anderlecht","Newcastle",10200000,"
                                Defender                            ","Congo DR","Kinshasa",37,3,1,0,0,5,1,0,0,1082,3247,NA,"1994/8/8",20.974674880219,NA,"Promoted"
"94","Henri Saivet","2016/1/11","G. Bordeaux","Newcastle",5100000,"
                                Midfield                            ","Senegal","Dakar",16,0,0,8,8,2,0,0,0,NA,786,NA,"1990/10/26",25.2101300479124,NA,"Promoted"
"95","Ivan Toney","2015/8/6","Northampt. Town","Newcastle",604000,"
                                Attacker                            ","England","Northampton",44,10,4,18,18,10,0,1,0,269,2685,NA,"1996/3/16",19.3894592744695,NA,"Promoted"
"96","Wahbi Khazri","2016/1/30","G. Bordeaux","Sunderland",10030000,"
                                Attacker                            ","Tunisia","Ajaccio",34,9,7,3,3,8,0,0,2,281,2526,28.9774127310062,"1991/2/8",24.974674880219,"Premier league","Buttom Club"
"97","Jeremain Lens","2015/7/15","Dynamo Kyiv","Sunderland",9690000,"
                                Attacker                            ","Netherlands","Amsterdam",37,9,12,4,4,5,1,0,0,309,2778,23.523613963039,"1987/11/24",27.6386036960986,"Premier league","Buttom Club"
"98","Fabio Borini","2015/8/31","Liverpool","Sunderland",9100000,"
                                Attacker                            ","Italy","Bentivoglio",18,1,2,13,13,1,1,0,0,642,642,21.9794661190965,"1991/3/29",24.4243668720055,"Premier league","Buttom Club"
"99","Ricardo Álvarez","2015/7/1","Inter","Sunderland",8930000,"
                                Midfield                            ","Argentina","Buenos Aires",17,1,0,9,9,4,0,0,0,725,725,35.9753593429158,"1988/4/12",27.2169746748802,"Premier league","Buttom Club"
"100","Ricardo Álvarez","2015/7/1","Inter","Sunderland",8930000,"
                                Midfield                            ","Argentina","Buenos Aires",17,1,0,9,9,4,0,0,0,725,725,35.9753593429158,"1988/4/12",27.2169746748802,"Premier league","Buttom Club"
"101","Lamine Koné","2016/1/27","FC Lorient","Sunderland",5530000,"
                                Defender                            ","Cote d'Ivoire","Paris",31,1,1,0,0,5,0,0,0,2790,2790,17.0841889117043,"1989/2/1",26.984257357974,"Premier league","Buttom Club"
"102","Younès Kaboul","2015/7/16","Spurs","Sunderland",3660000,"
                                Defender                            ","France","Saint-Julien-en-Gene...",15,0,0,0,0,2,0,0,0,NA,1350,11.4989733059548,"1986/1/4",29.5277207392197,"Premier league","Buttom Club"
"103","Sebastián Coates","2015/7/1","Liverpool","Sunderland",2380000,"
                                Defender                            ","Uruguay","Montevideo",14,0,0,1,1,2,0,0,0,NA,1137,11.9917864476386,"1990/10/7",24.7310061601643,"Premier league","Buttom Club"
"104","Adam Matthews","2015/7/4","Celtic","Sunderland",2380000,"
                                Defender                            ","Wales","Swansea",42,1,8,10,10,3,0,0,0,2880,2880,11.8932238193018,"1992/1/13",23.4715947980835,"Premier league","Buttom Club"
"105","Jan Kirchhoff","2016/1/7","Bayern Munich ","Sunderland",850000,"
                                Midfield                            ","Germany","Frankfurt am Main",18,0,0,4,4,3,0,0,0,NA,1061,5.74948665297741,"1990/10/1",25.2676249144422,"Premier league","Buttom Club"
"106","Jordan Ayew","2015/7/27","FC Lorient","Aston Villa",10200000,"
                                Attacker                            ","Ghana","Marseille",33,13,7,3,3,7,0,0,3,209,2716,35.1211498973306,"1991/9/11",23.8740588637919,"Premier league","Buttom Club"
"107","Jordan Amavi","2015/7/18","OGC Nice","Aston Villa",9350000,"
                                Defender                            ","France","Toulon",37,4,0,0,0,11,0,0,0,831,3323,23.4250513347023,"1994/3/9",21.3579739904175,"Premier league","Buttom Club"
"108","Jordan Veretout","2015/7/31","FC Nantes","Aston Villa",8500000,"
                                Midfield                            ","France","Ancenis",40,7,7,0,0,6,0,0,4,506,3545,22.9979466119097,"1993/3/1",22.4147843942505,"Premier league","Buttom Club"
"109","Adama Traoré","2015/8/14","FC Barcelona","Aston Villa",8500000,"
                                Attacker                            ","Spain","L'Hospitalet de ...",39,4,14,9,9,10,0,0,0,723,2892,34.5297741273101,"1996/1/25",19.5509924709103,"Premier league","Buttom Club"
"110","Adama Traoré","2015/8/14","FC Barcelona","Aston Villa",8500000,"
                                Midfield                            ","Mali","Bamako",24,2,1,10,10,3,0,0,0,668,1336,34.5297741273101,"1995/6/28",20.1286789869952,"Premier league","Buttom Club"
"111","Idrissa Gueye","2015/7/10","LOSC Lille","Aston Villa",7650000,"
                                Midfield                            ","Senegal","Dakar",44,4,3,2,2,6,0,0,0,956,3822,NA,"1989/9/26",25.7850787132101,"Premier league","Buttom Club"
"112","Rudy Gestede","2015/7/31","Blackburn","Aston Villa",7230000,"
                                Attacker                            ","Benin","Essey-lès-Nancy",44,22,6,11,11,3,0,0,1,135,2969,22.9979466119097,"1988/10/9",26.8062970568104,"Premier league","Buttom Club"
"113","Joleon Lescott","2015/9/1","West Brom","Aston Villa",1190000,"
                                Defender                            ","England","Birmingham",37,1,2,0,0,3,0,0,0,3330,3330,9.95482546201232,"1982/8/16",33.0431211498973,"Premier league","Buttom Club"
"114","José Crespo","2015/7/28","Córdoba CF","Aston Villa",595000,"
                                Defender                            ","Spain","Lora del Río",29,0,0,1,1,7,0,0,0,NA,2298,23.0965092402464,"1987/2/9",28.4626967830253,"Premier league","Buttom Club"
"115","Micah Richards","2015/7/1","Manchester City","Aston Villa",0,"
                                Defender                            ","England","Birmingham",20,0,1,6,6,1,0,0,0,NA,1236,NA,"1988/6/24",27.0171115674196,"Premier league","Buttom Club"
"116","Benik Afobe","2016/1/10","Wolves","Bournemouth",11310000,"
                                Attacker                            ","Congo DR","London",51,32,10,13,13,4,0,0,3,116,3701,29.6344969199179,"1993/2/12",22.9075975359343,"Premier league","Promoted"
"117","Tyrone Mings","2015/7/1","Ipswich","Bournemouth",9610000,"
                                Defender                            ","England","Bath",44,1,6,3,3,11,0,0,0,3782,3782,23.9835728952772,"1993/3/13",22.299794661191,"Premier league","Promoted"
"118","Max Gradel","2015/8/4","Saint-Étienne","Bournemouth",8500000,"
                                Attacker                            ","Cote d'Ivoire","Abidjan",40,17,5,9,9,7,0,0,4,175,2969,22.8665297741273,"1987/11/30",27.6769336071184,"Premier league","Promoted"
"119","Lewis Grabban","2016/1/11","Norwich","Bournemouth",7950000,"
                                Attacker                            ","Jamaica","London",36,12,4,13,13,2,0,1,1,178,2131,17.6098562628337,"1988/1/12",27.9972621492129,"Premier league","Promoted"
"120","Glenn Murray","2015/9/1","Crystal Palace","Bournemouth",4590000,"
                                Attacker                            ","England","Maryport",38,15,4,9,9,7,1,0,1,170,2544,9.95482546201232,"1983/9/25",31.9342915811088,"Premier league","Promoted"
"121","Lee Tomlin","2015/8/4","Middlesbrough","Bournemouth",3660000,"
                                Attacker                            ","England","Leicester",50,10,11,10,10,6,0,0,0,351,3512,22.8665297741273,"1989/1/12",26.5571526351814,"Premier league","Promoted"
"122","Rhoys Wiggins","2016/2/1","Sheff Wed","Bournemouth",221000,"
                                Defender                            ","Wales","Uxbridge",21,0,1,0,0,3,0,0,0,NA,1800,28.911704312115,"1987/11/4",28.2436687200548,"Premier league","Promoted"
"123","Joshua King","2015/7/1","Blackburn","Bournemouth",0,"
                                Attacker                            ","Norway","Oslo",19,5,1,10,10,2,0,0,0,178,888,NA,"1992/1/15",23.4579055441478,"Premier league","Promoted"
"124","Sylvain Distin","2015/7/1","Everton","Bournemouth",0,"
                                Defender                            ","France","Bagnolet",20,0,0,1,1,0,0,0,0,NA,1691,NA,"1977/12/16",37.5386721423682,"Premier league","Promoted"
"125","Adalberto Peñaranda","2016/2/1","Udinese Calcio","Watford",9010000,"
                                Attacker                            ","Venezuela","El Vigía, Mérida",2,0,0,2,2,0,0,0,0,NA,10,52.9281314168378,"1997/5/31",18.6721423682409,"Premier league","Promoted"
"126","Adalberto Peñaranda","2016/2/1","Udinese Calcio","Watford",9010000,"
                                Attacker                            ","Venezuela","El Vigía, Mérida",2,0,0,2,2,0,0,0,0,NA,10,52.9281314168378,"1997/5/31",18.6721423682409,"Premier league","Promoted"
"127","Abdoulaye Doucouré","2016/2/1","Rennes","Watford",9010000,"
                                Midfield                            ","France","Meulan-en-Yvelines",41,5,6,5,5,5,0,0,0,646,3228,NA,"1993/1/1",23.0828199863107,"Premier league","Promoted"
"128","Étienne Capoue","2015/7/6","Spurs","Watford",7570000,"
                                Midfield                            ","France","Niort",19,1,2,4,4,2,0,0,0,1284,1284,23.8193018480493,"1988/7/11",26.984257357974,"Premier league","Promoted"
"129","José Manuel Jurado","2015/7/22","Spartak Moscow","Watford",7310000,"
                                Attacker                            ","Spain","Sanlúcar de ...",20,3,4,8,8,0,0,0,0,408,1225,23.2936344969199,"1986/6/29",29.0622861054073,"Premier league","Promoted"
"130","Matej Vydra","2015/7/1","Udinese Calcio","Watford",7140000,"
                                Attacker                            ","Czech Republic","Chotebor",45,16,6,13,13,2,0,0,2,169,2706,NA,"1992/5/1",23.1649555099247,"Premier league","Promoted"
"131","Nordin Amrabat","2016/1/18","Málaga CF","Watford",7140000,"
                                Attacker                            ","Morocco","Naarden",35,6,7,13,13,8,0,0,2,379,2275,NA,"1987/3/31",28.8021902806297,"Premier league","Promoted"
"132","Nordin Amrabat","2016/1/18","Málaga CF","Watford",7140000,"
                                Attacker                            ","Morocco","Naarden",35,6,7,13,13,8,0,0,2,379,2275,NA,"1987/3/31",28.8021902806297,"Premier league","Promoted"
"133","Obbi Oulare","2015/9/1","Club Brugge","Watford",7e+06,"
                                Attacker                            ","Belgium","Waregem",30,7,4,20,20,4,0,0,0,156,1090,33.9383983572895,"1996/1/8",19.64681724846,"Premier league","Promoted"
"134","Steven Berghuis","2015/7/27","AZ Alkmaar","Watford",5530000,"
                                Attacker                            ","Netherlands","Apeldoorn",25,11,6,3,3,3,0,0,0,172,1891,NA,"1991/12/19",23.6030116358658,"Premier league","Promoted"
"135","Mario Suárez","2016/1/30","Fiorentina","Watford",4510000,"
                                Midfield                            ","Spain","Madrid",35,2,1,11,11,13,1,0,0,1177,2353,40.9691991786448,"1987/2/24",28.9308692676249,"Premier league","Promoted"
"136","Valon Behrami","2015/7/11","Hamburger SV","Watford",2980000,"
                                Midfield                            ","Switzerland","Mitrovicë",23,0,0,0,0,7,0,1,0,NA,2034,23.6550308008214,"1985/4/19",30.2258726899384,"Premier league","Promoted"
"137","José Holebas","2015/7/2","AS Roma","Watford",2130000,"
                                Defender                            ","Greece","Aschaffenburg",34,1,1,4,4,6,0,0,0,2787,2787,23.9507186858316,"1984/6/27",31.0116358658453,"Premier league","Promoted"
"138","Sebastian Prödl","2015/7/1","Werder Bremen","Watford",0,"
                                Defender                            ","Austria","Graz",24,3,1,2,2,5,0,0,0,641,1922,NA,"1987/6/21",28.0273785078713,"Premier league","Promoted"
"139","Allan Nyom","2015/7/14","Udinese Calcio","Watford",0,"
                                Defender                            ","Cameroon","Neuilly-sur-Seine",38,1,1,0,0,11,0,0,0,3352,3352,35.5482546201232,"1988/5/10",27.1759069130732,"Premier league","Promoted"
"140","Adlène Guédioura","2015/9/1","Crystal Palace","Watford",0,"
                                Midfield                            ","Algeria","La Roche-sur-Yon",27,3,5,12,12,5,0,0,0,516,1548,NA,"1985/11/12",29.8015058179329,"Premier league","Promoted"
"141","Steven Naismith","2016/1/19","Everton","Norwich",9350000,"
                                Attacker                            ","Scotland","Irvine",39,9,4,9,9,10,0,0,0,307,2760,NA,"1986/9/14",29.347022587269,"Premier league","Promoted"
"142","Timm Klose","2016/1/18","VfL Wolfsburg","Norwich",9350000,"
                                Defender                            ","Switzerland","Frankfurt am Main",19,3,0,2,2,1,0,0,0,501,1504,NA,"1988/5/9",27.6933607118412,"Premier league","Promoted"
"143","Robbie Brady","2015/7/29","Hull City","Norwich",8420000,"
                                Defender                            ","Ireland","Dublin",32,3,4,10,10,2,0,0,1,717,2152,NA,"1992/1/14",23.5373032169747,"Premier league","Promoted"
"144","Graham Dorrans","2015/7/1","West Brom","Norwich",3490000,"
                                Midfield                            ","Scotland","Glasgow",40,4,4,7,7,7,0,0,0,698,2793,23.9835728952772,"1987/5/5",28.1560574948665,"Premier league","Promoted"
"145","Ivo Pinto","2016/1/8","Dinamo Zagreb","Norwich",3150000,"
                                Defender                            ","Portugal","Lourosa",46,0,7,0,0,7,0,0,0,NA,4116,17.2156057494867,"1990/1/7",26.0013689253936,"Premier league","Promoted"
"146","Matt Jarvis","2016/1/2","West Ham","Norwich",2890000,"
                                Attacker                            ","England","Middlesbrough",14,0,1,7,7,0,0,0,0,NA,630,NA,"1986/5/22",29.6153319644079,"Premier league","Promoted"
"147","Youssouf Mulumbu","2015/7/1","West Brom","Norwich",0,"
                                Midfield                            ","Congo DR","Kinshasa",22,0,0,9,9,2,0,1,0,NA,1190,NA,"1987/1/25",28.4298425735797,"Premier league","Promoted"
"148","Arturo Vidal","2015/7/28","Juventus","Bayern Munich ",31450000,"
                                Midfield                            ","Chile","Santiago de Chile",45,8,4,5,5,12,0,0,3,453,3625,23.0965092402464,"1987/5/22",28.1834360027378,NA,"Promoted"
"149","Douglas Costa","2015/7/1","Shakhtar D.","Bayern Munich ",25500000,"
                                Attacker                            ","Brazil","Sapucaia do Sul",33,5,7,8,8,5,0,0,0,436,2181,35.9753593429158,"1990/9/14",24.7939767282683,NA,"Promoted"
"150","Joshua Kimmich","2015/7/2","VfB Stuttgart","Bayern Munich ",7230000,"
                                Midfield                            ","Germany","Rottweil",29,2,2,4,4,4,0,0,0,1149,2297,NA,"1995/2/8",20.394250513347,NA,"Promoted"
"151","Joshua Kimmich","2015/7/2","VfB Stuttgart","Bayern Munich ",7230000,"
                                Midfield                            ","Germany","Rottweil",29,2,2,4,4,4,0,0,0,1149,2297,NA,"1995/2/8",20.394250513347,NA,"Promoted"
"152","Julian Draxler","2015/8/31","FC Schalke 04","VfL Wolfsburg",28900000,"
                                Midfield                            ","Germany","Gladbeck",19,2,2,8,8,1,0,1,0,534,1068,33.9712525667351,"1993/9/20",21.9438740588638,"Bundesliga","Top Club"
"153","Max Kruse","2015/7/1","Bor. M'gladbach","VfL Wolfsburg",10200000,"
                                Attacker                            ","Germany","Reinbek",42,13,11,6,6,2,0,0,5,251,3257,23.9835728952772,"1988/3/19",27.2826830937714,"Bundesliga","Top Club"
"154","Dante","2015/8/30","Bayern Munich ","VfL Wolfsburg",3830000,"
                                Defender                            ","Brazil","Salvador da Bahia",39,0,0,11,11,8,0,0,0,NA,2808,22.0123203285421,"1983/10/18",31.8658453114305,"Bundesliga","Top Club"
"155","Carlos Ascues","2015/7/23","FBC Melgar","VfL Wolfsburg",1280000,"
                                Midfield                            ","Peru","Caracas",13,0,1,1,1,4,0,0,0,NA,972,NA,"1992/6/19",23.0910335386721,"Bundesliga","Top Club"
"156","Francisco Rodríguez","2015/7/21","FC Zürich","VfL Wolfsburg",1020000,"
                                Midfield                            ","Switzerland","Zürich",38,3,3,19,19,4,0,0,0,681,2043,23.3264887063655,"1995/9/14",19.8494182067077,"Bundesliga","Top Club"
"157","Ismail Azzaoui","2015/8/30","Tottenham U21","VfL Wolfsburg",850000,"
                                Attacker                            ","Belgium","Brussel",7,1,1,3,3,0,0,0,0,378,378,NA,"1998/1/6",17.6454483230664,"Bundesliga","Top Club"
"158","Josip Drmic","2015/7/1","Bay. Leverkusen","Bor. M'gladbach",8500000,"
                                Attacker                            ","Switzerland","Bäch/Freienbach SZ",38,6,1,28,28,1,0,0,0,227,1360,47.9671457905544,"1992/8/8",22.8939082819986,NA,"Promoted"
"159","Jonas Hofmann","2016/1/1","Bor. Dortmund","Bor. M'gladbach",6800000,"
                                Attacker                            ","Germany","Heidelberg",13,3,0,4,4,1,0,0,1,243,729,29.9301848049281,"1992/7/14",23.4661190965092,NA,"Promoted"
"160","Thorgan Hazard","2015/7/1","Chelsea","Bor. M'gladbach",6800000,"
                                Midfield                            ","Belgium","La Louvière",41,5,10,25,25,3,0,0,1,352,1759,11.9917864476386,"1993/3/29",22.2559890485969,NA,"Promoted"
"161","Nico Schulz","2015/8/18","Hertha BSC","Bor. M'gladbach",3400000,"
                                Defender                            ","Germany","Berlin",29,1,1,4,4,1,1,1,0,2077,2077,10.4147843942505,"1993/4/1",22.3791923340178,NA,"Promoted"
"162","Nico Elvedi","2015/7/1","FC Zürich","Bor. M'gladbach",3400000,"
                                Defender                            ","Switzerland","Zürich",29,1,3,7,7,3,0,0,0,2005,2005,23.9835728952772,"1996/9/30",18.7488021902806,NA,"Promoted"
"163","Lars Stindl","2015/7/1","Hannover 96","Bor. M'gladbach",2550000,"
                                Attacker                            ","Germany","Speyer",22,11,4,1,1,7,1,0,1,171,1884,11.9917864476386,"1988/8/26",26.8446269678303,NA,"Promoted"
"164","Charles Aránguiz","2015/8/13","Internacional","Bay. Leverkusen",11050000,"
                                Midfield                            ","Chile","Santiago de Chile",12,0,1,0,0,2,0,0,0,NA,1035,34.5626283367556,"1989/4/17",26.321697467488,"Bundesliga","Top Club"
"165","Chicharito","2015/8/31","Manchester Utd.","Bay. Leverkusen",10200000,"
                                Attacker                            ","Mexico","Guadalajara",35,9,9,21,21,2,0,0,0,166,1492,9.98767967145791,"1988/6/1",27.2470910335387,"Bundesliga","Top Club"
"166","Kevin Kampl","2015/8/28","Bor. Dortmund","Bay. Leverkusen",9350000,"
                                Midfield                            ","Slovenia","Solingen",47,11,19,10,10,7,1,0,0,314,3455,46.0616016427105,"1990/10/9",24.8843258042437,"Bundesliga","Top Club"
"167","Admir Mehmedi","2015/7/1","SC Freiburg","Bay. Leverkusen",6800000,"
                                Attacker                            ","Switzerland","Gostivar",32,7,1,2,2,3,0,0,0,366,2562,47.9671457905544,"1991/3/16",24.2929500342231,"Bundesliga","Top Club"
"168","Jonathan Tah","2015/7/16","Hamburger SV","Bay. Leverkusen",6380000,"
                                Defender                            ","Germany","Hamburg",25,0,1,1,1,5,1,0,0,NA,2140,35.482546201232,"1996/2/11",19.4250513347023,"Bundesliga","Top Club"
"169","Kyriakos Papadopoulos","2015/7/1","FC Schalke 04","Bay. Leverkusen",5530000,"
                                Defender                            ","Greece","Katerini",20,4,1,9,9,9,0,0,0,288,1150,11.9917864476386,"1992/2/23",23.3511293634497,"Bundesliga","Top Club"
"170","André Ramalho","2015/7/1","RB Salzburg","Bay. Leverkusen",0,"
                                Defender                            ","Brazil","Ibiúna",47,2,1,7,7,12,1,0,0,1833,3665,NA,"1992/2/16",23.3702943189596,"Bundesliga","Top Club"
"171","Ja-Cheol Koo","2015/8/31","1.FSV Mainz 05","FC Augsburg",4250000,"
                                Midfield                            ","Korea, South","Nonsan",26,7,2,7,7,3,0,0,3,250,1749,33.9712525667351,"1989/2/27",26.5051334702259,"Bundesliga","Top Club"
"172","Philipp Max","2015/8/4","Karlsruher SC","FC Augsburg",3230000,"
                                Defender                            ","Germany","Viersen",26,0,1,0,0,4,0,0,0,NA,2324,22.8665297741273,"1993/9/30",21.8425735797399,"Bundesliga","Top Club"
"173","Jeffrey Gouweleeuw","2016/1/9","AZ Alkmaar","FC Augsburg",2550000,"
                                Defender                            ","Netherlands","Heemskerk",38,2,3,0,0,5,0,0,0,1710,3420,29.6673511293634,"1991/7/10",24.5010266940452,"Bundesliga","Top Club"
"174","Konstantinos Stafylidis","2015/8/20","Bay. Leverkusen","FC Augsburg",2130000,"
                                Defender                            ","Greece","Thessaloniki",44,0,1,4,4,5,1,0,0,NA,3611,34.3326488706366,"1993/12/2",21.7138945927447,"Bundesliga","Top Club"
"175","Dominik Kohr","2015/7/1","Bay. Leverkusen","FC Augsburg",1190000,"
                                Midfield                            ","Germany","Trier",27,1,1,7,7,10,0,0,0,1698,1698,11.9917864476386,"1994/1/31",21.4127310061602,"Bundesliga","Top Club"
"176","Albian Ajeti","2016/1/8","FC Basel","FC Augsburg",850000,"
                                Attacker                            ","Switzerland","Basel",35,20,3,6,6,5,0,0,0,132,2645,NA,"1997/2/26",18.8637919233402,"Bundesliga","Top Club"
"177","Daniel Opare","2015/8/13","FC Porto","FC Augsburg",0,"
                                Defender                            ","Ghana","Accra",13,1,0,0,0,4,0,0,0,1031,1031,34.5626283367556,"1990/10/18",24.8186173853525,"Bundesliga","Top Club"
"178","Piotr Trochowski","2015/7/21","Sevilla FC","FC Augsburg",0,"
                                Midfield                            ","Germany","Tczew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1984/3/22",31.3292265571526,"Bundesliga","Top Club"
"179","Johannes Geis","2015/7/1","1.FSV Mainz 05","FC Schalke 04",10200000,"
                                Midfield                            ","Germany","Schweinfurt",37,5,5,2,2,5,0,0,1,639,3196,23.9835728952772,"1993/8/17",21.8699520876112,"Bundesliga","Middle Club"
"180","Matija Nastasic","2015/7/1","Manchester City","FC Schalke 04",8080000,"
                                Defender                            ","Serbia","Valjevo",19,0,0,0,0,3,0,0,0,NA,1710,23.9835728952772,"1993/3/28",22.258726899384,"Bundesliga","Middle Club"
"181","Franco Di Santo","2015/7/25","Werder Bremen","FC Schalke 04",5100000,"
                                Attacker                            ","Argentina","Mendoza",28,14,2,0,0,8,0,0,3,177,2474,11.2032854209446,"1989/4/7",26.2970568104038,"Bundesliga","Middle Club"
"182","Alessandro Schöpf","2016/1/7","1.FC Nuremberg","FC Schalke 04",4250000,"
                                Midfield                            ","Austria","Umhausen",33,5,7,1,1,6,0,0,0,571,2854,29.7330595482546,"1994/2/7",21.9137577002053,"Bundesliga","Middle Club"
"183","Júnior Caiçara","2015/7/1","Ludogorets","FC Schalke 04",3830000,"
                                Defender                            ","Brazil","São Paulo",44,0,9,2,2,8,0,1,0,NA,3806,23.9835728952772,"1989/4/27",26.17659137577,"Bundesliga","Middle Club"
"184","Sascha Riether","2015/7/23","SC Freiburg","FC Schalke 04",0,"
                                Defender                            ","Germany","Lahr",21,0,1,4,4,3,0,0,0,NA,1493,23.2607802874743,"1983/3/23",32.3340177960301,"Bundesliga","Middle Club"
"185","Gonzalo Castro","2015/7/1","Bay. Leverkusen","Bor. Dortmund",9350000,"
                                Midfield                            ","Germany","Wuppertal",32,2,11,3,3,6,0,0,0,1386,2772,11.9917864476386,"1987/6/11",28.0547570157426,"Bundesliga","Middle Club"
"186","Joo-Ho Park","2015/8/29","1.FSV Mainz 05","Bor. Dortmund",2550000,"
                                Defender                            ","Korea, South","Seoul",19,0,0,0,0,2,0,0,0,NA,1675,22.0451745379877,"1987/1/16",28.6160164271047,"Bundesliga","Middle Club"
"187","Julian Weigl","2015/7/1","1860 Munich","Bor. Dortmund",2130000,"
                                Midfield                            ","Germany","Bad Aibling",26,0,1,5,5,8,0,0,0,NA,1980,23.9835728952772,"1995/9/8",19.8110882956879,"Bundesliga","Middle Club"
"188","Eduardo Vargas","2015/8/24","SSC Napoli","TSG Hoffenheim",5100000,"
                                Attacker                            ","Chile","Santiago de Chile",22,3,2,6,6,1,0,0,0,471,1414,22.2094455852156,"1989/11/20",25.7577002053388,"Bundesliga","Middle Club"
"189","Fabian Schär","2015/7/1","FC Basel","TSG Hoffenheim",3400000,"
                                Defender                            ","Switzerland","Wil",41,1,4,0,0,9,0,0,0,3480,3480,NA,"1991/12/20",23.5290896646133,"Bundesliga","Middle Club"
"190","Jonathan Schmid","2015/7/1","SC Freiburg","TSG Hoffenheim",3150000,"
                                Attacker                            ","France","Straßburg",37,5,13,2,2,2,0,0,0,624,3120,11.9917864476386,"1990/6/22",25.0239561943874,"Bundesliga","Middle Club"
"191","Pavel Kaderábek","2015/7/1","Sparta Praha","TSG Hoffenheim",2980000,"
                                Defender                            ","Czech Republic","Prag",37,4,10,0,0,5,0,0,0,814,3254,NA,"1992/4/25",23.1813826146475,"Bundesliga","Middle Club"
"192","Mark Uth","2015/7/2","SC Heerenveen","TSG Hoffenheim",1870000,"
                                Attacker                            ","Germany","Köln",37,20,12,1,1,6,0,0,3,154,3083,11.958932238193,"1991/8/24",23.854893908282,"Bundesliga","Middle Club"
"193","Joelinton","2015/7/1","Sport","TSG Hoffenheim",1870000,"
                                Attacker                            ","Brazil","Aliança (PE)",5,1,3,1,1,1,0,0,0,369,369,NA,"1996/8/14",18.8774811772758,"Bundesliga","Middle Club"
"194","Felipe Pires","2015/8/25","RB Salzburg","TSG Hoffenheim",850000,"
                                Attacker                            ","Brazil","São Paulo",38,13,7,12,12,3,0,0,2,195,2535,10.1848049281314,"1995/4/18",20.35318275154,"Bundesliga","Middle Club"
"195","Antonio Colak","2015/7/1","1.FC Nuremberg","TSG Hoffenheim",425000,"
                                Attacker                            ","Croatia","Ludwigsburg",33,10,2,5,5,5,0,0,0,254,2537,11.9917864476386,"1993/9/17",21.7850787132101,"Bundesliga","Middle Club"
"196","Kevin Kuranyi","2015/7/24","Dinamo Moscow","TSG Hoffenheim",0,"
                                Attacker                            ","Germany","Rio de Janeiro",39,15,6,11,11,3,0,0,4,162,2434,NA,"1982/3/2",33.3935660506502,"Bundesliga","Middle Club"
"197","Marco Fabián","2016/1/1","Guadalajara","E. Frankfurt",3150000,"
                                Midfield                            ","Mexico","Guadalajara",42,9,5,6,6,8,0,0,1,356,3203,17.9383983572895,"1989/7/21",26.4476386036961,"Bundesliga","Middle Club"
"198","Luc Castaignos","2015/7/1","FC Twente","E. Frankfurt",2130000,"
                                Attacker                            ","Netherlands","Schiedam",35,14,0,2,2,5,0,0,0,199,2792,11.9917864476386,"1992/9/27",22.757015742642,"Bundesliga","Middle Club"
"199","David Abraham","2015/7/2","TSG Hoffenheim","E. Frankfurt",1280000,"
                                Defender                            ","Argentina","Chabás",15,0,2,6,6,3,0,0,0,NA,923,11.958932238193,"1986/7/15",28.9637234770705,"Bundesliga","Middle Club"
"200","Mijat Gacinovic","2015/8/12","Vojvodina","E. Frankfurt",1020000,"
                                Attacker                            ","Serbia","Novi Sad",27,11,1,2,2,2,0,0,0,200,2195,22.6036960985626,"1995/2/8",20.5065023956194,"Bundesliga","Middle Club"
"201","Szabolcs Huszti","2016/1/1","CC Yatai","E. Frankfurt",213000,"
                                Midfield                            ","Hungary","Miskolc",25,6,5,0,0,7,1,0,0,346,2078,11.9917864476386,"1983/4/18",32.7063655030801,"Bundesliga","Middle Club"
"202","Yanni Regäsel","2016/2/1","Hertha BSC","E. Frankfurt",102000,"
                                Defender                            ","Germany","Berlin",29,0,2,0,0,2,0,1,0,NA,2367,4.92813141683778,"1996/1/13",20.0520191649555,"Bundesliga","Middle Club"
