"","index","lon","lat"
"1207",852,-90.6163146,19.7894724
"1208",852,35.046183,48.464717
"1209",852,-100.363932,25.733185
"1210",852,-4.4212655,36.721261
"1211",852,-4.4212655,36.721261
"1213",852,2.1178229,41.3806915
"1214",852,-0.5104759,39.0643597
"1215",852,6.2230139,50.7654394
"1216",852,-109.9259886,27.4907255
"1217",852,-3.7423397,40.3757325
"1218",852,-101.6462224,21.1502441
"1220",852,-3.7686545,40.3319506
"1221",852,-109.9259886,27.4907255
"1222",852,-109.9259886,27.4907255
"1223",852,-87.7962098,41.7304326
"1224",852,-87.7962098,41.7304326
"1225",852,7.2005291,45.7103746
"1226",852,16.3378572,57.6027778
"1227",852,20.4489216,44.786568
"1228",852,-71.4547891,42.9956397
"1229",852,29.3190451,40.8236671
"1230",852,29.3190451,40.8236671
"1231",852,12.4313452,44.0944217
"1232",852,4.749854,51.596605
"1233",852,-90.6163146,19.7894724
"1234",852,27.1378769,43.8149115
"1235",852,-101.6462224,21.1502441
"1236",852,-0.1165001,39.9391986
"1238",852,-72.236379,-15.5155512
"1239",852,-72.236379,-15.5155512
"1240",852,-76.9714224,40.2313116
"1241",852,-0.3887798,39.4961244
"1242",852,-0.1165001,39.9391986
"1243",852,-58.410285,-34.5981075
"1244",852,-0.1165001,39.9391986
"1246",852,5.04148,47.322047
"1247",852,-3.0106774,36.7460566
"1248",852,37.436128,55.817478
"1249",852,-3.17909,51.481581
"1250",852,-99.136043,19.2932645
"1251",852,-0.6690555,38.2645632
"1252",852,-56.4613157,-34.7445711
"1253",852,-97.8630971,22.2391488
"1254",852,-38.9624062,-12.2119608
"1255",852,-2.4637136,36.834047
"1256",852,-4.7285114,41.6516695
"1257",852,10.5355882,42.9636137
"1258",852,10.5355882,42.9636137
"1259",852,39.8281768,40.9541543
"1260",852,-2.4637136,36.834047
"1261",852,-2.4637136,36.834047
"1262",852,10.3279036,44.801485
"1263",852,-3.0106774,36.7460566
"1266",852,-0.6690555,38.2645632
"1268",852,-109.9259886,27.4907255
"1269",852,-0.1165001,39.9391986
"1270",852,-1.61778,54.978252
"1271",852,-115.2533664,36.000664
"1272",852,-0.6690555,38.2645632
"1274",852,-2.6325074,53.5450645
"1275",852,-43.2397455,-22.8926246
"1276",852,-109.9259886,27.4907255
"1277",852,-89.6412899,20.9544631
"1278",852,-63.616672,-38.416097
"1279",852,-63.616672,-38.416097
"1282",852,13.2056341,46.0408771
"1283",852,-0.3887798,39.4961244
"1287",852,-0.6690555,38.2645632
"1288",852,-3.7423397,40.3757325
"1289",852,-2.4637136,36.834047
"1290",852,-1.234956,54.574227
"1291",852,15.0830304,37.5078772
"1292",852,8.6821267,50.1109221
"1293",852,-77.7914471,43.0824364
"1294",852,-0.3887798,39.4961244
"1295",852,-0.6690555,38.2645632
"1296",852,-101.6462224,21.1502441
"1297",852,-1.8585424,38.994349
"1299",852,-2.4637136,36.834047
"1301",852,-86.8746827,21.1251616
"1303",852,-99.1404085,19.2937122
"1304",852,-3.0106774,36.7460566
"1305",852,5.545162,50.610246
"1306",852,-0.3887798,39.4961244
"1307",852,2.6667109,39.6451791
"1308",852,-93.702428,37.3425477
"1309",852,-2.4637136,36.834047
"1310",852,-4.7285114,41.6516695
"1311",852,1.297355,52.6308859
"1313",852,-56.741207,-35.1944557
"1314",852,-121.7174504,40.5618791
"1315",852,10.5355882,42.9636137
"1316",852,10.5355882,42.9636137
"1317",852,-4.4212655,36.721261
"1318",852,5.36978,43.296482
"1319",852,33.6511438,27.402484
"1320",852,16.3378572,57.6027778
"1321",852,16.3378572,57.6027778
"1323",852,10.5355882,42.9636137
"1324",852,-121.5380243,39.4354432
"1325",852,12.3996736,44.2048479
"1326",852,-3.7423397,40.3757325
"1327",852,10.7847741,44.54433
"1328",852,13.2056341,46.0408771
"1329",852,-89.6412899,20.9544631
"1330",852,8.946256,44.4056499
"1331",852,12.8465236,42.4408552
"1332",852,-75.5873636,6.1696109
"1334",852,10.3279036,44.801485
"1335",852,-99.136043,19.2932645
"1336",852,10.5355882,42.9636137
"1337",852,10.3279036,44.801485
"1338",852,-121.5380243,39.4354432
"1339",852,10.6363586,43.6625156
"1340",852,-100.7169119,20.0188739
"1342",852,8.946256,44.4056499
"1343",852,8.946256,44.4056499
"1344",852,8.946256,44.4056499
"1345",852,-99.1404085,19.2937122
"1346",852,-0.2024423,51.9727271
"1347",852,-121.8571511,37.2841992
"1348",852,10.2118019,45.5415526
"1349",852,14.2160898,42.4617902
"1350",852,10.9078587,43.9303475
"1351",852,-0.2470864,51.3912756
"1352",852,18.0875223,48.3218535
"1353",852,5.5021,50.96613
"1354",852,13.2056341,46.0408771
"1356",852,-76.9714224,40.2313116
"1357",852,14.4019282,45.3479003
"1358",852,16.2537357,39.2982629
"1359",852,12.2253049,44.1325193
"1360",852,4.7601215,52.62921
"1361",852,2.1178229,41.3806915
"1362",852,-87.7962098,41.7304326
"1363",852,-3.7423397,40.3757325
"1364",852,-3.7423397,40.3757325
"1365",852,35.046183,48.464717
"1366",852,-120.3089541,38.0413373
"1367",852,-82.820974,21.6066405
"1368",852,-1.1139932,51.2641437
"1369",852,-43.1809269,-22.9511149
"1370",852,14.7906121,40.914388
"1371",852,14.7906121,40.914388
"1374",852,13.2056341,46.0408771
"1375",852,-49.7793508,-27.4224135
"1376",852,-109.30151,35.1709339
"1377",852,12.2253049,44.1325193
"1378",852,12.2253049,44.1325193
"1379",852,11.5819806,48.1351253
"1380",852,17.1271102,39.0807932
"1381",852,17.1271102,39.0807932
"1382",852,12.0305904,45.2999432
"1383",852,10.7847741,44.54433
"1384",852,14.2160898,42.4617902
"1385",852,-76.9714224,40.2313116
"1387",852,-121.5380243,39.4354432
"1388",852,-107.2650225,32.7997962
"1389",852,29.3190451,40.8236671
"1390",852,-121.5380243,39.4354432
"1391",852,13.512867,38.0829586
"1393",852,-121.5380243,39.4354432
"1394",852,-122.2609149,47.1891048
"1395",852,12.2385741,44.1444936
"1396",852,-44.0282462,-19.8464954
"1397",852,13.2056341,46.0408771
"1398",852,34.193604,47.7349473
"1399",852,10.9466529,45.4575193
"1400",852,10.9466529,45.4575193
"1401",852,-89.6412899,20.9544631
"1402",852,14.2160898,42.4617902
"1404",852,-122.2609149,47.1891048
"1406",852,13.2056341,46.0408771
"1408",852,11.5354214,45.5454787
"1409",852,13.3426341,41.6396009
"1410",852,13.3426341,41.6396009
"1411",852,10.3279036,44.801485
"1412",852,-121.5380243,39.4354432
"1413",852,-89.6412899,20.9544631
"1414",852,-1.383801,54.906869
"1415",852,-1.383801,54.906869
"1416",852,10.9466529,45.4575193
"1417",852,7.4246158,43.7384176
"1418",852,10.7979685,52.4257066
"1419",852,11.5819806,48.1351253
"1420",852,11.5819806,48.1351253
"1421",852,-3.0106774,36.7460566
"1422",852,-1.61778,54.978252
"1423",852,29.3190451,40.8236671
"1424",852,-117.6929839,33.5247963
"1425",852,100.5590155,13.77438
"1427",852,-121.5380243,39.4354432
"1428",852,-49.7793508,-27.4224135
"1429",852,-49.7793508,-27.4224135
"1431",852,9.0901144,39.2132322
"1432",852,-89.6412899,20.9544631
"1433",852,12.4313452,44.0944217
"1434",852,-109.9259886,27.4907255
"1435",852,-58.5214952,-34.6284822
"1436",852,-58.5214952,-34.6284822
"1437",852,-58.5214952,-34.6284822
"1438",852,34.193604,47.7349473
"1439",852,8.946256,44.4056499
"1440",852,8.946256,44.4056499
"1441",852,7.6868565,45.070312
"1442",852,14.7906121,40.914388
"1443",852,10.3279036,44.801485
"1444",852,9.2744485,45.5845001
"1445",852,-91.9172636,36.2063211
"1446",852,5.4660837,51.4432096
"1447",852,21.6273123,47.5316049
"1448",852,3.876716,43.610769
"1449",852,-100.363932,25.733185
"1450",852,-121.7174504,40.5618791
"1451",852,3.4231317,50.8869521
"1454",852,12.4034644,44.0961527
"1455",852,10.2118019,45.5415526
"1456",852,10.3279036,44.801485
"1457",852,137.7577072,34.7298543
"1458",852,12.8465236,42.4408552
"1459",852,113.3271346,23.1265915
"1460",852,-100.363932,25.733185
"1461",852,12.2385741,44.1444936
"1462",852,12.2385741,44.1444936
"1463",852,-58.5214952,-34.6284822
"1464",852,14.7906121,40.914388
"1465",852,-99.1575913,19.4294062
"1466",852,11.5354214,45.5454787
"1467",852,10.3279036,44.801485
"1468",852,-58.5214952,-34.6284822
"1470",852,-121.5380243,39.4354432
"1471",852,8.946256,44.4056499
"1473",852,10.3105674,43.548473
"1474",852,11.3426163,44.494887
"1475",852,5.04148,47.322047
"1476",852,6.2230139,50.7654394
"1477",852,6.2230139,50.7654394
"1478",852,15.0830304,37.5078772
"1479",852,6.2230139,50.7654394
"1482",852,131.9594688,43.6917713
"1483",852,16.8718715,41.1171432
"1484",852,12.2385741,44.1444936
"1485",852,13.2056341,46.0408771
"1486",852,-117.8120634,33.603029
"1487",852,10.2118019,45.5415526
"1488",852,10.3279036,44.801485
"1489",852,-100.363932,25.733185
"1490",852,10.8796629,44.7838779
"1491",852,10.8796629,44.7838779
"1492",852,10.8796629,44.7838779
"1493",852,12.4034644,44.0961527
"1494",852,-49.7793508,-27.4224135
"1495",852,6.2230139,50.7654394
"1496",852,10.5355882,42.9636137
"1497",852,10.5355882,42.9636137
"1498",852,10.5355882,42.9636137
"1499",852,10.2118019,45.5415526
"1502",852,10.3279036,44.801485
"1503",852,14.2160898,42.4617902
"1504",852,-43.1774267,-22.9331294
"1505",852,-54.9207695,-34.7905524
"1506",852,10.5355882,42.9636137
"1509",852,-3.0106774,36.7460566
"1510",852,-3.0106774,36.7460566
"1512",852,-66.8733401,10.611739
"1513",852,-66.8733401,10.611739
"1514",852,-58.5214952,-34.6284822
"1515",852,-3.0106774,36.7460566
"1516",852,-3.0106774,36.7460566
"1517",852,-89.6412899,20.9544631
"1518",852,12.2253049,44.1325193
"1519",852,10.7847741,44.54433
"1520",852,-46.6333094,-23.5505199
"1521",852,8.946256,44.4056499
"1522",852,8.270781,47.1009823
"1523",852,5.948749,52.9628225
"1524",852,6.2230139,50.7654394
"1525",852,12.2385741,44.1444936
"1526",852,19.2208393,47.7916513
"1527",852,7.4246158,43.7384176
"1528",852,-77.1333278,34.7380626
"1529",852,10.8796629,44.7838779
"1530",852,10.8796629,44.7838779
"1531",852,10.9466529,45.4575193
"1532",852,12.2253049,44.1325193
"1533",852,8.5039272,47.3813654
"1534",852,10.9466529,45.4575193
"1535",852,-100.363932,25.733185
"1536",852,-58.5214952,-34.6284822
"1537",852,-89.6412899,20.9544631
"1538",852,9.0901144,39.2132322
"1540",852,3.876716,43.610769
"1541",852,18.1750161,40.3515155
"1542",852,13.0405549,41.5467721
"1543",852,-118.1064585,34.121397
"1544",852,10.7847741,44.54433
"1546",852,10.3279036,44.801485
"1547",852,12.2385741,44.1444936
