"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"1","1. FC Köln","Marco Höger","2016/7/1","FC Schalke 04",1.11,"
                                Midfield                            ","Germany","Köln",6,0,0,3,3,2,0,0,0,NA,219,11.958932238193,"1989/9/16",26.7898699520876,3740,"Bundesliga","Middle Club"
"2","1. FC Köln","Artjoms Rudnevs","2016/7/1","Hamburger SV",0,"
                                Attacker                            ","Latvia","Daugavpils",16,5,2,5,5,1,0,0,0,210,1050,NA,"1988/1/13",28.4654346338125,2330,"Bundesliga","Middle Club"
"3","1. FC Köln","Konstantin Rausch","2016/7/1","SV Darmstadt 98",0,"
                                Midfield                            ","Germany","Kozhevnikovo, Tomsk ...",33,3,6,5,5,7,0,0,0,744,2231,NA,"1990/3/15",26.2970568104038,18900,"Bundesliga","Middle Club"
"4","1. FC Köln","Sehrou Guirassy","2016/7/20","LOSC Lille",3.23,"
                                Attacker                            ","France","Arles",25,9,2,6,6,3,0,0,0,193,1738,35.3182751540041,"1996/3/12",20.3559206023272,5280,"Bundesliga","Middle Club"
"5","1.FSV Mainz 05","Levin Öztunali","2016/8/25","Bay. Leverkusen",4.25,"
                                Midfield                            ","Germany","Hamburg",29,1,5,10,10,2,0,0,0,1665,1665,22.1437371663244,"1996/3/15",20.4462696783025,2160,"Bundesliga","Middle Club"
"6","1.FSV Mainz 05","Jean-Philippe Gbamin","2016/7/13","Lens",4.25,"
                                Midfield                            ","France","San-Pédro",26,1,1,1,1,3,0,0,0,2236,2236,35.5482546201232,"1995/9/25",20.7994524298426,494,"Bundesliga","Middle Club"
"7","1.FSV Mainz 05","Christian Clemens","2016/7/1","FC Schalke 04",1.7,"
                                Attacker                            ","Germany","Köln",29,6,5,8,8,1,0,0,0,300,1799,11.958932238193,"1991/8/4",24.9089664613279,4460,"Bundesliga","Middle Club"
"8","1.FSV Mainz 05","Jhon Córdoba","2016/7/1","Granada CF",5.53,"
                                Attacker                            ","Colombia","Istmina",22,5,2,8,8,2,0,0,0,278,1388,35.9425051334702,"1993/5/11",23.1403148528405,5760,"Bundesliga","Middle Club"
"9","1.FSV Mainz 05","José Rodríguez","2016/7/1","Galatasaray",1.82,"
                                Midfield                            ","Spain","Villajoyosa",23,0,2,9,9,4,0,0,0,NA,1283,35.9425051334702,"1994/12/16",21.5414099931554,193000,"Bundesliga","Middle Club"
"10","1.FSV Mainz 05","Gerrit Holtmann","2016/7/1","E. Braunschweig",2.55,"
                                Attacker                            ","Germany","Bremen",34,7,5,10,10,2,0,0,0,307,2147,35.9425051334702,"1995/3/25",21.2703627652293,924,"Bundesliga","Middle Club"
"11","AC Milan","José Sosa","2016/8/17","Besiktas",6.38,"
                                Midfield                            ","Argentina","Carcarañá",41,9,14,1,1,4,0,0,0,361,3247,22.4065708418891,"1985/6/19",31.1622176591376,23200,"Serie A","Middle Club"
"12","AC Milan","Gianluca Lapadula","2016/7/1","Pescara",7.65,"
                                Attacker                            ","Italy","Torino",46,30,12,0,0,10,0,0,0,135,4042,35.9425051334702,"1990/2/7",26.3956194387406,5790,"Serie A","Middle Club"
"13","AC Milan","Gustavo Gómez","2016/8/5","CA Lanús",7.23,"
                                Defender                            ","Paraguay","Misiones",20,1,2,0,0,5,0,0,0,1759,1759,34.7926078028747,"1993/6/6",23.1649555099247,2760,"Serie A","Middle Club"
"14","AC Milan","Leonel Vangioni","2016/7/1","River Plate",0,"
                                Defender                            ","Argentina","Villa Constitución",19,0,1,1,1,4,0,1,0,NA,1509,NA,"1987/5/5",29.1581108829569,1820,"Serie A","Middle Club"
"15","Alavés","Christian Santos","2016/7/12","NEC Nijmegen",0,"
                                Attacker                            ","Venezuela","Puerto Ordaz",33,18,2,1,1,8,0,0,5,162,2917,NA,"1988/3/24",28.3011635865845,1540,"La Liga","Promoted"
"16","Alavés","Nenad Krsticic","2016/7/25","Sampdoria",0,"
                                Midfield                            ","Serbia","Belgrad",12,0,1,4,4,6,0,0,0,NA,678,11.170431211499,"1990/7/3",26.0616016427105,1170,"La Liga","Promoted"
"17","Alavés","Ibai Gómez","2016/7/30","Athletic Bilbao",0,"
                                Attacker                            ","Spain","Bilbao",9,0,1,5,5,3,0,0,0,NA,339,11.006160164271,"1989/11/11",26.715947980835,5290,"La Liga","Promoted"
"18","Alavés","Edgar Méndez","2016/7/16","Granada CF",0,"
                                Attacker                            ","Spain","Arafo",18,1,0,9,9,5,0,0,0,948,948,35.4496919917864,"1991/4/30",25.2128678986995,10900,"La Liga","Promoted"
"19","Alavés","Zouhair Feddal","2016/7/16","Levante UD",0,"
                                Defender                            ","Morocco","Tétouan",29,1,1,0,0,9,1,0,0,2610,2610,23.4579055441478,"1989/1/1",27.5373032169747,2510,"La Liga","Promoted"
"20","Alavés","Daniel Torres","2016/7/19","Indep. Medellín",2.7,"
                                Midfield                            ","Colombia","Caquezá",5,1,0,0,0,1,0,0,0,450,450,NA,"1989/11/15",26.6748802190281,3710,"La Liga","Promoted"
"21","Alavés","Aleksandar Katai","2016/8/31","Red Star",1.7,"
                                Attacker                            ","Serbia","Vrbas",36,23,10,1,1,9,0,0,0,127,2926,9.95482546201232,"1991/2/6",25.5660506502396,4420,"La Liga","Promoted"
"22","Alavés","Alexis","2016/7/29","Besiktas",0.34,"
                                Defender                            ","Spain","Málaga",28,2,0,1,1,10,0,0,0,1232,2464,23.0308008213552,"1985/8/4",30.984257357974,658000,"La Liga","Promoted"
"23","Arsenal","Rob Holding","2016/7/22","Bolton",2.55,"
                                Defender                            ","England","Tameside",30,1,1,0,0,3,0,1,0,2598,2598,NA,"1995/9/20",20.8377823408624,26500,"Premier league","Top Club"
