"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"194","FC Ingolstadt","Sonny Kittel","2016/7/3","E. Frankfurt",0,"
                                Midfield                            ","Germany","Gießen",8,0,0,7,7,0,0,0,0,NA,272,NA,"1993/1/6",23.4880219028063,735,"Bundesliga","Middle Club"
"195","FC Ingolstadt","Marcel Tisserand","2016/8/31","Monaco",2.55,"
                                Defender                            ","Congo DR","Meaux",36,1,0,1,1,5,1,0,0,3144,3144,33.9383983572895,"1993/1/10",23.6386036960986,2690,"Bundesliga","Middle Club"
"196","FC Ingolstadt","Robert Leipertz","2016/7/3","FC Schalke 04",1.28,"
                                Attacker                            ","Germany","Jülich",38,12,10,4,4,5,0,0,0,246,2953,11.8932238193018,"1993/2/1",23.4168377823409,620,"Bundesliga","Middle Club"
"197","FC Ingolstadt","Hauke Wahl","2016/7/1","SC Paderborn",0,"
                                Defender                            ","Germany","Hamburg",34,2,0,1,1,0,0,0,0,1495,2990,23.9507186858316,"1994/4/15",22.2121834360027,734,"Bundesliga","Middle Club"
"198","FC Ingolstadt","Florent Hadergjonaj","2016/8/8","BSC Young Boys",1.7,"
                                Defender                            ","Switzerland","Langnau",37,0,4,4,4,14,0,0,0,NA,2996,10.7104722792608,"1994/7/31",22.0232717316906,262,"Bundesliga","Middle Club"
"199","FC Lorient","Faïz Selemani","2016/7/1","FC Niort",0.765,"
                                Defender                            ","France","Marseille",33,4,4,0,0,4,0,0,0,717,2866,NA,"1993/11/17",22.6201232032854,222,"Ligue 1","Middle Club"
"200","FC Lorient","Cafú","2016/7/1","Vit. Guimarães",1.7,"
                                Midfield                            ","Portugal","Guimarães",37,3,2,1,1,6,0,0,0,1060,3180,NA,"1993/2/26",23.3429158110883,7220,"Ligue 1","Middle Club"
"201","FC Lorient","Lindsay Rose","2016/7/1","Olympique Lyon",1.28,"
                                Defender                            ","France","Rennes",13,0,0,0,0,1,0,0,0,NA,1170,NA,"1992/2/8",24.394250513347,988,"Ligue 1","Middle Club"
"202","FC Metz","Yann Jouffre","2016/7/1","FC Lorient",0,"
                                Attacker                            ","France","Montélimar",30,2,5,7,7,3,0,0,0,991,1981,NA,"1984/7/23",31.9397672826831,1220,"Ligue 1","Promoted"
"203","FC Metz","Milan Bisevac","2016/8/24","Lazio",0,"
                                Defender                            ","Serbia","Kosovska Mitrovica",23,1,0,0,0,1,0,0,0,1905,1905,10.1848049281314,"1983/8/31",32.9828884325804,4660,"Ligue 1","Promoted"
"204","FC Metz","Opa Nguette","2016/7/1","FC Valenciennes",0,"
                                Attacker                            ","France","Mantes-la-Jolie",14,1,1,6,6,2,0,0,0,752,752,NA,"1994/7/8",21.9822039698836,2190,"Ligue 1","Promoted"
"205","FC Metz","Franck Signorino","2016/7/1","Reims",0,"
                                Defender                            ","France","Nogent-sur-Marne",29,0,2,0,0,5,0,0,0,NA,2561,NA,"1981/9/19",34.7816563997262,970,"Ligue 1","Promoted"
"206","FC Metz","Benoît Assou-Ekotto","2016/8/16","Saint-Étienne",0,"
                                Defender                            ","Cameroon","Arras",28,0,0,1,1,2,0,0,0,NA,2394,NA,"1984/3/24",32.3969883641342,160000,"Ligue 1","Promoted"
"207","FC Nantes","Diego Carlos","2016/7/1","Estoril",1.7,"
                                Defender                            ","Brazil","Barra Bonita (SP)",33,2,0,0,0,7,3,0,0,1462,2924,NA,"1993/3/15",23.296372347707,24200,"Ligue 1","Middle Club"
"208","FC Nantes","Mariusz Stepinski","2016/8/29","Ruch Chorzow",1.7,"
                                Attacker                            ","Poland","Sieradz",36,15,3,4,4,5,0,0,1,186,2788,22.0123203285421,"1995/5/12",21.3004791238877,1280,"Ligue 1","Middle Club"
"209","FC Nantes","Lucas Lima","2016/7/1","Arouca",0.935,"
                                Defender                            ","Brazil","Estação (RS)",35,4,6,0,0,8,0,0,0,788,3150,NA,"1991/10/10",24.72553045859,163000,"Ligue 1","Middle Club"
"210","FC Nantes","Nicolaj Thomsen","2016/7/1","Aalborg BK",0.51,"
                                Attacker                            ","Denmark","Skagen",39,10,11,0,0,0,0,0,1,348,3482,6.01232032854209,"1993/5/8",23.1485284052019,2380,"Ligue 1","Middle Club"
"211","FC Nantes","Alexander Kacaniklic","2016/7/1","Fulham FC",0,"
                                Attacker                            ","Sweden","Helsingborg",27,4,0,13,13,1,0,0,0,344,1374,NA,"1991/8/13",24.8843258042437,2180,"Ligue 1","Middle Club"
"212","FC Schalke 04","Benjamin Stambouli","2016/8/26","Paris SG",7.23,"
                                Midfield                            ","France","Marseille",39,0,0,12,12,4,0,0,0,NA,2314,46.1273100616016,"1990/8/13",26.0369609856263,6920,"Bundesliga","Top Club"
"213","FC Schalke 04","Coke","2016/8/3","Sevilla FC",3.4,"
                                Defender                            ","Spain","Madrid",42,5,3,3,3,10,0,1,0,689,3446,NA,"1987/4/26",29.2731006160164,268000,"Bundesliga","Top Club"
"214","FC Schalke 04","Robert Leipertz","2016/7/1","1.FC Heidenheim",0.255,"
                                Attacker                            ","Germany","Jülich",38,12,10,4,4,5,0,0,0,246,2953,11.958932238193,"1993/2/1",23.4113620807666,620,"Bundesliga","Top Club"
"215","FC Schalke 04","Breel Embolo","2016/7/1","FC Basel",19.13,"
                                Attacker                            ","Switzerland","Yaoundé",40,13,9,3,3,6,1,0,1,250,3252,35.9425051334702,"1997/2/14",19.3757700205339,15800,"Bundesliga","Top Club"
"216","FC Schalke 04","Naldo","2016/7/1","VfL Wolfsburg",0,"
                                Defender                            ","Brazil","Londrina",40,2,1,0,0,7,0,0,0,1793,3586,NA,"1982/9/10",33.8069815195072,338000,"Bundesliga","Top Club"
"217","Fiorentina","Kevin Diks","2016/7/6","Vitesse",2.38,"
                                Defender                            ","Netherlands","Apeldoorn",35,2,4,1,1,5,0,0,0,1519,3037,23.7864476386037,"1996/10/6",19.7481177275838,499,"Serie A","Top Club"
"218","Fiorentina","Hrvoje Milic","2016/8/16","Hajduk Split",0.85,"
                                Defender                            ","Croatia","Osijek",35,1,5,0,0,7,0,0,0,3051,3051,22.4394250513347,"1989/5/10",27.2689938398357,702,"Serie A","Top Club"
