"","X","team","league","transfer.fee.total","lon","lat","V6"
"33",33,"Lorient FC France","Ligue 1",3.745,-3.3702449,47.7482524,NA
"34",34,"FC Nantes France","Ligue 1",4.845,-1.553621,47.218371,NA
"35",35,"Schalke 04 FC   Germany","Bundesliga",30.015,51.558816,7.06385,7.06385
"36",36,"Fiorentina Italy","Serie A",7.91,10.5355882,42.9636137,NA
"37",37,"G Bordeaux France","Ligue 1",2.98,-0.57918,44.837789,NA
"38",38,"Genoa Italy","Serie A",11.603,8.946256,44.4056499,NA
"39",39,"Granada CF Spain","La Liga",7.458,-3.0106774,36.7460566,NA
"40",40,"Hamburger SV Germany","Bundesliga",27.343,9.9044926,53.6617101,NA
"41",41,"Hertha Berlin Germany","Bundesliga",5.7,13.2802528,52.4876874,NA
"42",42,"Hull City UK","Premier league",18.79,-0.3367413,53.7456709,NA
"43",43,"Inter Milan Italy","Serie A",135.425,9.314365,45.659238,NA
"44",44,"Juventus Turin Italy","Serie A",131.33,7.61394,44.97794,NA
"45",45,"Lazio Italy","Serie A",29.76,12.989615,41.6552418,NA
"46",46,"Leicester UK","Premier league",62.91,-1.1397592,52.6368778,NA
"47",47,"Liverpool UK","Premier league",62.65,-2.9915726,53.4083714,NA
"48",48,"LOSC Lille France","Ligue 1",3.83,3.057256,50.62925,NA
"49",49,"Málaga CF Spain","La Liga",8.585,-4.4212655,36.721261,NA
"50",50,"Manchester City UK","Premier league",161.76,-2.2426305,53.4807593,NA
"51",51,"Manchester Utd UK","Premier league",157.25,-2.2906546,53.4622546,NA
"52",52,"Marseille France","Ligue 1",8.67,5.36978,43.296482,NA
"53",53,"Middlesbrough UK","Premier league",21.26,-1.234956,54.574227,NA
"54",54,"Monaco France","Ligue 1",35.7,7.420816,43.737411,NA
"55",55,"Nice OGC France","Ligue 1",11.695,43.683284,7.197926,7.197926
"56",56,"Olympique Lyon France","Ligue 1",8.93,4.9767765,45.7690226,NA
"57",57,"Paris SG France","Ligue 1",64.26,2.3350238,48.8533958,NA
"58",58,"Pescara Italy","Serie A",8.968,14.2160898,42.4617902,NA
